Item,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,A6,B6,A7,B7,A8,B8,A9,B9,A10,B10,A11,B11,A12,B12,A13,B13,A14,B14,A15,B15,A16,B16,A17,B17,A18,B18
1bf,5,5,5,5,2.5,3,6,7,3,3,0.25,0.5,1,0,4,2.5,3.5,2,0.5,1,3,4,0,0,2,2,1.5,1.5,5,4,0,0,6,6,16,16
1bf,5,4.5,4,2,1,2,0,0,2.5,3,1,1.5,0,0,1,2,1.5,2,1,2.5,1,1,0,0,2,2,1.5,1.5,0.5,0.5,0,0,0,0,8,8
1bf,5,5,5,5,2,3,0,0,4,4,1,1,2,2.5,3,3.5,4,4,2.5,3,2.5,2.5,3,3.5,1.5,1.5,3,3,4,2,0,0,6,6,17,17
1bg,5,4.5,5,5,3,3,7,7,4,3.5,0.5,0.5,5,4,8,7,4,4,4,5,6,6,5,5,2,2,3,3,5,3,2,2,4.5,4.5,18,18
1bg,5,5,0,2.5,1,1,5,4,1,2.5,0,0,4,6,0,0,3.5,3.5,2.5,3,2,3.5,0,0,1.5,2,1.5,0,0,3,0,2,6,4.5,16,16
1bg,4,4,4,4.5,2,2.5,0,0,2.5,3,0,0,0.5,5,1,3,2.5,2,2.5,4,1,2,0.5,1,1.5,1.5,1.5,3,0.5,0,1,0,6,5,15,15
1bg,5,5,0,3.5,1,2,1,2,3,3,0.5,1.5,0,0,2,3,3.25,2.5,0.25,0,1.5,4,0,0.5,1.5,2,1.5,3,0,0,0,0,3,4.5,14,14
1bg,5,5,3,5,1,1,1.5,5,4,4,0.5,1.5,2,4,0.5,0,4,4,1,1,1,0,0.5,1,2,2,1.5,3,2,2,0,0,0,0,14,14
1bg,1,1,1,2,1,1,0.5,0,0.5,0,0.5,1,0,0,1,2,0,0,0.5,0,0,0,0,0,2,2,1.5,1.5,2.5,0,0,0,0,0,9,9
1bg,5,3,2.5,0,2,3,5,1,3,4,0.5,0.5,4,6,4,7,4,4,4,5,6,4.5,4,2,1.5,1.5,1.5,3,5,5,0.5,0.5,6,6,18,18
1bg,2.5,1.5,4,4,1,1,0.5,1,3,2.5,0.5,0.5,1,1,0.5,4,0.25,0.5,0.5,1.5,0.5,0,0,0,2,2,1.5,3,0.5,0,1,1,4.5,4.5,12,13
1bg,4.5,4.5,4,4,3,3,2,0,1.5,1.5,1,1.5,0,0.5,3.5,3,0.5,0.5,2,3,2,3,4,3,1.5,1.5,1.5,3,3.5,5,0,0,6,5,13,13
1bg,5,4.5,4,5,1.5,2,0.5,1,3,2.5,0.5,0.5,0,1,1.5,4,0.25,1,1.5,2,2,3,1.5,1,1,1,1.5,3,0,0,1,1,0,1.5,14,14
1bg,1.75,1,3.5,2.5,1.5,2.5,0.5,2,3,3,0.5,1,2,4,2,4,4.5,3.5,2,4,2,4,1,2,1.5,1.5,1.5,3,0,1.5,0,0,0,0,13,14
1bg,3.25,1,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5,1.5,4,1.5,2,0,1,1.5,1.5,0,3,0,0,0,0,0,0,14,14
1bg,4.5,4,4,5,3,3,4.5,6,3.5,4,1,1.5,3.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,13,14
1bg,5,5,5,5,3,3,7,7,4,2,1,0.5,2.5,4,5,6,4,4,5,5,6,6,5,5,2,2,3,3,3,3,0.5,0,6,5,19,19
1bg,5,5,5,4,3,3,6,5,4,3.5,0.5,0.5,3.5,2.5,7,6,4,4,2.5,3.5,3,4,2.5,2.5,2,2,1.5,2.5,2,3.5,0,0,6,3.5,17,17
1cd,3.5,4,5,5,3,3,5,5,4,4,1.5,1.5,6,6,8,8,2,2,1.5,2,3,3,3,3.5,1.5,1.5,3,3,7,7,2,2,6,6,19,19
1cd,5,5,5,4.5,3,3,,0,2.5,3,,0,3,4,5,3,3,3,,0,,1,,0,2,2,3,3,2,2,,0,3,3,14,14
1cd,1.5,1.5,4,3,2,2,,0.5,4,4,,0,5,0,,5,1,1,,2,2,2,,0,1,1,3,2,"",0,,0,,0,13,13
1cd,4,4,4.5,5,3,3,,0.5,4,4,2,2,3,3,3,3,0.5,0.5,2,3,,0.5,,1,1,1,,0,"",1,,0,3,3,12,12
1cd,3.5,1.5,,0,,0,,0,2,2,,0,,0,,0,,0,,1,,0,,0,0.5,0.5,,0,"",0,,0,,0,13,13
1cd,4,3.5,3,1,2,2,,0,2,2,1,0.5,,0,2,2,3,3,2.5,3,3,2,,0,"",0,,0,"",0,,0,6,6,9,9
1cd,5,5,4,4,3,3,5,5,4,4,1,1.5,3,3,5,5,4,4,5,4,,1,5,5,2,2,3,3,5,5,1,1,6,6,17,17
1cd,5,5,5,5,3,3,0,1,4,4,,1,3,3,8,8,4,4,5,4,6,6,3,2,2,2,3,3,4,5,1,1,4.5,4.5,20,20
1cd,4,4,5,5,3,3,0,1,3.5,3,,0.5,0.5,1,6,5,4,4,4,3,3,3,,0,2,2,3,3,1,6,6,1,5,5,17,17
1cd,4.5,4.5,5,5,3,3,7,7,4,4,1,1,3,4,7,6,4,4,4,4,5,5,5,5,2,2,3,3,7,7,2,2,4.5,4.5,20,20
1cd,1,1,2,1,,1,,0,2.5,3,1,1,3,3,5,4,3,1.5,2,2,,0,,0,2,2,3,3,2,2,,0,,0,17,17
1cd,4.5,4.5,4,4,2,2,5,3,4,4,2,2,3,4,6,5,4,4,3.5,4,5,6,4,5,2,2,3,3,5,5,,0,6,6,18,18
1cd,5,5,2,4,3,3,,1,4,4,,0,3,2,8,8,4,4,4,4,5,5,5,5,2,2,3,3,5,4,1,1,4.5,4.5,16,16
1cd,4,3.5,,0,2,2,,0,3,3,,0,2,2,3,2,4,3,2.5,3.5,1,1,,0,2,2,3,3,"",1,,0,,0,8,8
1cd,4.5,4.5,3.5,4,3,3,,0,4,3,,0,3,3,5,5,2.5,3,2,3,2,2,5,4,2,2,3,3,1,1,0,0,3,3,13,13
1cd,5,5,2.5,4,3,3,2,2,4,3,,1,,0,7,7,4,4,3,4,3,3,4,3,2,2,3,3,"",2,,0,4.5,4.5,16,16
1ce,5,5,2.5,2.5,2.5,3,1,1,2.5,3,1,0.5,2,1.5,3,2.5,2.5,2,1,1.5,3,2,3,2.5,1.5,1.5,3,2,3,2,0.5,0,5,5,17,17
1ce,4.5,4.5,5,4.5,3,3,6,5,4,3.5,1,1,6,5,5,5,3,3,3,2.5,3,2.5,3,2,2,2,3,2,3,3.5,2,1.5,4.5,5,20,20
1ce,4,4,4.5,4,3,3,2,1.5,3.5,3,1,1,3,3,3,3,3,2.5,2.5,2,2,3.5,1.5,1,1.5,1.5,1.5,1,2,1.5,1,1,6,0,15,15
1ce,4.5,4,4.5,4.5,3,3,0,0,4,3.5,0,1,6,4,5,4.5,4,3.5,4,4.5,2,3.5,4,1,0.5,0.5,1.5,1.5,0.5,1,0,0,0,0,13,13
1ce,4.5,4.5,3.5,4,2,2,0,0,4,3.5,1,1,0,0,0.5,0,4,4,3,2.5,0.5,0,0.5,1,2,2,2,1,1?,1,0,0,6,4.5,11,11
1ce,5,5,4,4,3,2.5,0,0,3,3,0,0,3,1.5,0,0,2,2,3,2,2,1.5,2.5,0.5,1,1,0.5,0,2,1,0,0,4.5,3.5,12,12
1ce,5,5,2.5,2.5,3,2,2,2,2,1,0,0,0,0,5,4,0,0.25,2,2,2,2.5,1,0.5,1.5,1.5,3,2.5,3,2,0,0,6,6,13,13
1ce,5,5,5,4,3,2.5,4,3,3.5,2,1,1,4,4,5,5,3.5,2.75,1.5,1,2,1,2.5,2.5,2,2,3,1.5,5,6,0.5,0,6,6,18,18
1ce,5,5,5,5,3,3,5,5.5,3,4,1,0.5,6,5,7,6,4,3.5,3,3,5,4.5,0,0,1.5,2,3,3,6,5,1.5,1,6,5,16,16
1ce,4.5,5,5,5,3,2.5,6,7,4,3.5,1,1,6,4,8,6,4,4,5,5,6,5,3,1.5,2,2,3,3,5,5,0,0,4.5,4.5,20,20
1ce,5,4.5,5,5,3,2.5,5,5,4,3.5,1,1,4,4,5,3,4,4,4,5,6,5,5,5,2,2,3,3,5,4,2,2,6,5,14,14
1ce,4,4,5,4,0,0,1,1.5,4,4,1,1,1,1,3,3,4,3.25,3,2,0.5,0.5,2.5,1.5,2,2,3,2,1,1,0,0,4.5,4,12,12
1ce,5,5,5,5,2,1.5,1,0,3,3,1.5,1.5,1,2.5,5,4,3.5,3.5,5,5,5,3.5,0,0,2,2,3,2.5,4,2,1,1,0,0,19,19
1ce,5,5,5,4.5,3,3,3,1,4,4,2,1,6,5.5,6,5,3.5,3.5,4,3.5,6,5,5,3,2,2,3,3,5,6,0,0,6,6,18,18
1ce,5,5,4,5,2,2,0,2,3.5,3,1,1,6,3,5,2.5,4,4,4,4,6,4.5,4,3,2,2,3,2,2,2,0,0,6,5.5,18,18
1ce,4.5,4.5,5,3,1.5,3,0,0,3.5,3,0.5,0,3,3,5,4,2.5,2,2,1.5,1,1,0,0,2,2,3,3,1,1,0,0,6,5,14,15
1cf,0.5,1,0,0,2,3,1,1,4,4,0.5,0.5,2,2,0,0,0.5,0.5,1,2,0,0,0,,0.5,1,0,0,0,0,0,0,4,4,11,11
1cf,4.5,4.5,5,5,3,3,5,6,4,4,1.5,2,6,6,6,6,1,1,1,3,4,4,0,0,1,1,2.5,3,0,0,1,1,4.5,4.5,16,16
1cf,5,5,3,3,3,3,0,0,4,4,0.5,0.5,3,4,2,2,4,4,3,4,4,4,0,0,0.5,0.5,0.5,0.5,0,0,0,0,1,1,12,12
1cf,1.5,1.5,2,2,1,2,0,0,4,4,1,1,1.5,0.5,1,3,4,2,3,4,3,3,0,0,2,2,0,3,5,5,0,0,0,0,11,11
1cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
1cf,4.5,,2,,2.5,,1,,2,,0,,0,,1,,3,,4,,1,,1,,2,,2.5,,2,,0,"",0,,10,
1cf,3,3,1,2,2,3,4,4,4,4,0,0,4,4,7,7,1,1,0.5,2,0.5,1,0,0,1,1,0,0,1.5,2,0,0,0,0,13,13
1cf,5,5,4,4.5,3,3,3.5,3,4,4,1.5,1,0,0,3,3,4,4,5,5,5,4,3.5,3.5,2,2,2,2,1,1,0,0,6,6,17,17
1cf,5,5,2.5,2,1.5,1.5,2,2,4,4,0.5,1,0,0,4,4,0,0,1,2,0,1,0,0,1.5,1.5,2.5,3,4,4,0,0,5,4.5,13,13
1cf,4.5,4.5,5,5,2,2,2,2,4,4,1,1,0,0,4,5,2.5,2.5,2,2,2.5,2,0,0,2,2,2,2,3.5,4,0,0,4,4,11,11
1cf,1,1,0,0,0,0,0,0,2,2,1,2,0,0,1.5,2,0.5,0.5,1,1,1,1,3,1,1,1,2.5,2.5,4,4,0,0,0,0,16,16
1cf,3,3,1,1,1,1,1,1,2,2,1.5,1,0,0,1,1,3,3,1,1,0,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,15,15
1cf,5,5,2,2,2,2,0,0,3.5,3.5,0.5,0.5,4,4,4,5,2,2,1,2,0.5,0.5,0,0,1.5,1.5,2.5,2.5,1,1,0,0,6,6,13,13
1cf,0,0,0,0,3,3,1,2,3,3,0.5,0.5,4,3.5,2,2,2.5,2.5,1,1,3,2.5,0,0,1,1,1,10,0,0,0,0,0,0,14,14
1cf,3.5,3.5,4,4,1,1,2,2,4,4,0,0,2,2,4,4,2.5,2.5,2.5,3.5,4,4,0.5,0.5,2,2,3,3,1,2,0,0,0,0,14,14
1cf,1.5,1.5,0,0,2,2,0,0,2,2.5,0,0,2,1.5,0,0,2,2,2,5,1,2,0,0,1.5,1.5,0,0,0,0.5,0,0,0,0,11,11
1cg,3,3,0,0,2.5,3,0,0,3.5,3,0.5,1,0.5,0,5,5,1.5,1,4,4,2,2.5,0,0,0,0,0,0,0,0,0,0,0.5,1,15,15
1cg,5,5,5,5,2.5,3,6,5,4,4,1.5,1,6,6,7,6,4,4,2,2,3,3,1,2,1.5,1.5,3,3,3,3,0,0,6,6,15,15
1cg,5,5,5,5,1.5,2,0,0,4,3,1,1,4,3,0,1,3.5,3.5,5,5,3.5,4,0.5,2,1.5,1.5,3,3,3,2,0,0,5,4,17,17
1cg,5,5,2.5,3,2,2,0,0,3.5,3.5,0,0,0,0,3,3,1.5,1.5,3,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,16,16
1cg,4.5,3.5,5,4,3,2,0,0,3.5,3.5,1,0,0,0,6,4,0,0,5,5,5,3,1,0,0,0,3,3,1,2,0,0,5,5,11,11
1cg,5,4.5,5,4,3,3,4,4,2.5,2.5,0.5,1,5,5,6,5,3.5,3.5,5,4,5,5,5,5,2,2,3,3,7,7,2,2,6,6,19,19
1cg,5,5,5,4,3,3,5,4,3.5,3.5,0,0,4,4,6,7,4,4,5,5,5,4,4,5,2,2,3,3,0,0,0,0.5,1.5,1,13,13
1cg,5,5,4.5,4.5,2.5,2,3,3,3.5,3,0,0,0.5,0.5,0,0,1.5,1.5,3,3,4,4,0,0,2,2,3,3,0,0,0,0,5,4,18,18
1cg,5,5,5,5,3,3,1,0,3,3,1.5,1,5,4,5,5,4,3.5,4,3,1.5,1,4,5,3,3,3,3,4,5,2,2,6,6,17,17
1cg,4,4,5,4,2.5,3,5,5,4,3.5,0,0,0,0,5,5,3.5,3,5,4,1,1,0,0,2,2,3,3,3,3,0,0,6,6,9.5,8
1cg,3.5,3.5,2.5,3,2,2,2,2,4,3,2,2,3,3,6,5,0.5,0.5,4,4,2,2,0,0,2,2,3,3,3,2,0,0,6,6,17,17
1cg,3.5,2.5,3,2.5,3,2,2,2,3,3,0,0,0,0,2,3,0,0,4,4,1,1,0,0,1,1,3,3,0,1,0,0,0,0,12,13
1cg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,5,5
1cg,3.5,3.5,5,5,3,3,2,2,4,4,2,2,4,5,6,5,4,4,5,5,3,5,1,1,2,2,3,3,4,4,1,1,4,3.5,17,17
1cg,5,5,5,4,2.5,2,0,0,2,1,0,0,4,4.5,0,0,1,0.5,2,1,1,1,0,0,2,2,3,2,4,4,0,0,4,3,12,12
1cg,0,0,5,4,1,1,0,0,0,0,0,0,0,0,5,4,0,0,3,3,0,0,0,0,2,2,3,3,0,0,0,0,0,0,13,13
1de,3.5,3.5,5,2.5,3,2.5,2,1.5,3.5,2,1,1,3,3,5,5,4,3.5,3,3.5,4,3.5,2,0,2,2,1.5,1.5,4,2.5,2,2,6,6,17,17
1de,1.5,2,4,2.5,3,2.5,5,3,3,2,,0,6,5,6,5,1,0.5,,0,2.5,2,,0,1.5,1.75,3,3,4,2,,0,,0,14,14
1de,3.5,3.25,2,2,0,1,0,2,2,2.5,0,0.5,2,0,0,3,0.5,0,0,0.5,0,0.5,0,0,2,2,1.5,2,3,3,0,0,6,5,7,7
1de,0,0,0,1,0,2,0,1,4,2.5,0,0,0,0,3,4,0,0,0,0,1,1,0,0,2,2,1.5,2,0,3,0,0.5,3,3.5,15,15
1de,5,4.5,4,5,3,3,2,2.5,4,2.5,1,1,2,2,5,3,4,4,5,5,4,4,2,0,2,2,3,3,4,3,0,0,4.5,4.5,13,13
1de,5,4,5,3.5,3,2.5,5,2.5,4,3.5,0,1,4.5,3.5,8,5,4,4,5,4,6,4,5,4,2,2,1.5,2,5,3.5,2,1.5,4.5,3,15,15
1de,3,2,2,0,1,1,0,2,1.5,1,0,0,0,0,5,6,0,0,3,2.5,0,0,0,0,2,2,1.5,2,0,0,0,0,0,0,12,12
1de,5,5,5,5,3,3,3,3,3.5,2,2,2,5,0,0,5,4,4,5,3,5,3.5,5,4,2,1.5,1.5,1.5,1,1.5,2,2,4.5,4,17,17
1de,5,5,4,5,3,3,3,1,4,2.5,0,1,0,1,1,1,4,2.75,1.5,1.5,0.5,0,2,0.5,1,1,3,2,5,3,0,0,0,0,11,11
1de,4.5,4.25,4,3.5,3,3,2,1,4,3.5,1.5,1,3,2,6,4.5,3,3.75,4,3,6,4.5,0,0,2,2,1.5,2,5,3,2,2,4.5,3,20,20
1de,3,2.25,2,1,2,2,1,1,3,3,0,0,2,2,0,0,2,1.5,3,3,0,1.5,0,0.5,2,1.5,1.5,1.5,4,2,0,0,0,0,6,6
1de,5,5,4.5,4.5,2.5,2,2,3,3.5,3,1,0.5,4,3,3,3.5,4,2,3.5,1,3,2.5,0,0,2,2,2,2,4,2,0,0,4.5,4.5,17,17
1de,4,4,5,3.75,3,1.5,3,2,4,2,2,1.5,5,3.5,6,5.5,1.5,1,1.5,3,0,0,0,0,2,2,3,3,0,1.5,0,0.5,0,0,16,16
1de,1,1,3,2.5,2.5,1,0,0.5,4,3,1,0.5,3,2.5,3,4,2,0.75,2,1,2,1,0,0,1.5,1.5,0,0,0,0,0,0,0,0,15,15
1de,,4.5,,5,,1.5,,0,"",3,,1,,0,,5,,3.5,,1.5,,3.5,,0,"",2,,2,"",1.5,,0,,3,,17
1de,,2.25,,1.5,,1.5,,0,"",3,,0,,2,,2,,1.5,,4,,2.5,,0,"",1.5,,1.5,"",1,,0,,6,,14
1df,2.5,0.5,0,0.5,0,0.5,0,0,2,1.5,0,0.5,1,1,0,1.5,0,0,3,1,0,0,0,0,1.5,1,1.5,0.5,0,0,0,0,4.5,3,10,10
1df,5,5,5,4.5,1,2.5,5,4,4,3.5,1,1.5,5,5,5,5,4,3,5,3.5,4,4,3,3,2,1.5,1.5,1,2,1,2,2,4.5,4.5,18,18
1df,1.5,1.5,2,2,0,0,0,1,2.5,1.5,0,0.5,4,1,3,2,0,0.5,1,0.5,1,0.5,0,0,1,1,0,0,2,0,0,0,0,0,9,9
1df,3.5,4.5,2.5,3.5,2,1.5,0,0,2,3,0,0,3,4,4,4,3.5,3,1,0,4,1,0,0,2,1.5,3.5,1.5,2,0.5,0,0,0,0,13,13
1df,5,5,4.5,5,2,2.5,0,0,4,4,1,1,0,3.5,5,7,4,4,5,2,5,2.5,0,0,2,2,3,3,0,0,0,0,0,0,17,17
1df,2.5,2,3,3,0,0.25,0,0.5,3,2.5,1,1.5,0,0.5,5,4,0,1,2,1,2,2,0,0,1,2,1.5,1.5,3,2.5,0,0,3,3,14,14
1df,5,5,5,5,2,2.5,0,0,3,3,1,0.5,3,3,0,0,2,1,4,4,3,2,2,1,2,2,1.5,2,4,3,0,0,0,0,18,18
1df,5,5,5,5,3,2.5,2,2,4,4,2,2,3,3.5,4,3,4,4,1,1,4,4,0,0,2,2,3,2.5,3,3,0,0,3,3,15,15
1df,3.5,4,5,4,2,2,0,0,3,1.5,1,0,1,1,3,1,3.5,3.5,3,3,3,3,0,0,2,2,3,3,1,1,2,2,3,3,16,16
1df,5,5,2,3.5,3,2.5,5,5,3.5,4,0,0.5,3,3,7,7,4,3.5,1,0.5,2,2.5,0,0,4,2,1.5,2.5,3,4,0,0,4,4,17,17
1df,3,4,3,3,1,1,5,5.5,3.5,3,0,0,3,2,5,7,4,4,4,4.5,4,5,3,3.5,2,2,3,3,6,4,2,1,6,6,17,17
1df,4,4.5,5,5,3,3,7,7,4,4,0,0,4,4,6,5,4,4,3,5,5,4.5,5,4,2,2,1.5,2,6,5.5,0,0,6,6,17,17
1df,5,5,5,5,2,1.5,0,0,4,4,0.5,1,2,3,5,6,4,3,1,0.5,2.5,2,0,0,2,2,3,3,1,0.5,0,0,4.5,2,16,16
1df,5,5,3,5,3,3,0,0,4,2,0.5,1,1,3,4.5,4,4,4,3,2,4.5,4.5,1,1.5,2,2,1.5,2.5,4,3,0,0,4.5,5,15,15
1df,5,5,3,2.5,3,2.5,3,3,4,3.5,0.5,1,1,2,1.5,1.5,4,4,2,3.5,4,4,7,1.5,2,2,2,2,1,2,0,0,6,5.5,13,13
1df,5,5,5,5,1.5,1.5,3,3.5,3,2,0,0.5,2,2,4,3,4,4,0,0,3,2,4,2,1.5,2,2,2,0,2,3,1,,1.5,18,18
1dg,4,4,5,4,3,3,2,4,4,4,0.5,0,5,4,7,5,3,3,4,3,5,3,4,4,2,1,3,2,3,3,1,1,4.5,6,19,19
1dg,2,3.5,2,2.5,3,3,2,2,3,3,1,0,3,2,6,4,2,2,3,1,2,2,3,3,2,2,3,1.5,0,2,0,0,3,3,16,16
1dg,3.5,3.5,0,0,3,0,0,0,1.5,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1.5,0,0,0,0,0,0,14,14
1dg,3,3.5,2,2,3,0,0,0,3.5,2,0,0,2.5,0,2,0,3.5,4,4,2.5,4,2,0,0,1.5,1.5,3,0,0.5,0,0,0,0,0,13,13
1dg,5,5,2,2,3,3,3,3,3.5,3,0.5,0,3,2,7,5,4,4,5,5,6,4,0,0,1.5,1.5,3,3,3,2,0,0,1.5,0,17,17
1dg,1.5,1,0,0,5,3,0,0,0,0.5,1.5,0,0,0,0,0,1,1,0,0.5,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,10,10
1dg,4.5,4.5,5,4,3,2,0,0,4,4,0,1.5,4,2,1,0,4,4,5,4,6,5,4,5,2,2,3,3,1,3,0,0,4.5,4.5,12,12
1dg,5,4.5,5,5,3,3,6,7,4,4,1.5,1,1,2,8,8,4,4,4,2,6,5,5,5,2,2,3,3,1.5,2,2,2,6,6,18,17
1dg,4.5,5,4.5,5,3,2.5,3,2,4,4,1,1,3,2.5,5,4.5,1.5,1,4,2,3,3.5,3,0,2,2,3,2.5,3,2.5,0,0,6,6,19,19
1dg,5,5,5,2.5,3,2,6,3,3.5,4,0.5,0.5,3,2,4,4,3,3,2,0,2,0,0,0,2,2,0,0,0,0,0,0,2,3,13,13
1dg,5,5,5,5,3,3,6,7,5,4,1,1,6,4,7,7,4,4,5,2,2,3,3,2,2,1,3,2,2,3,2,2,6,6,19,18
1dg,1.5,1.5,5,4,2,3,1,0,3,4,1,1,4,2,7,4,1,1,3.5,0.5,0,0,0,0,2,2,3,3,3,3,0.5,0,6,6,13,13
1dg,4.5,4,4,4,3,3,0,0,4,3.5,1.5,1,3,2.5,5,5.5,4,4,5,2,4,3.5,1,0,2,1.5,3,1.5,1.5,2,0,0,0,0,17,18
1dg,5,5,5,2.5,2.5,1,6,3,3.5,3.5,1.5,0,5,2,7,5,4,4,4,0,3,3,3,2.5,2,2,3,3,6,3.5,0,0,6,6,16,16
1dg,3.5,3.5,0,0,2.5,1.5,0,0,2.5,3,0,0.5,0,0,0,0,2.5,2.5,1,0.5,1,0,0,0,1.5,1.5,3,1.5,0.5,0,0,0,0,0,17,17
1dg,5,5,5,5,3,2.5,7,7,4,4,1.5,0.5,6,6,6,6.5,3.5,4,5,5,6,5,5,5,2,2,3,3,7,7,2,2,6,4.5,20,20
1ef,4.5,4.5,5,3,2.5,2,5,2.5,3.5,3,0.5,1,2,2.5,2,4,0.5,0.75,3,3.5,4,1.5,2,2,2,2,3,2,2,1,0,0,5.5,4,12,12
1ef,0,0.5,1.5,1,2.5,3,5,3,4,3,1,1.5,1,0,2,3,0,0,3.5,3.5,0,0,0,0,1.5,1,0,0,0,0,0,0,0,0,11,11
1ef,3.5,3,1.5,0,3,3,5,4.5,4,4,1,1,2,2,5,5,1.5,1.5,4,4,4,2.5,0.5,0.5,2,1.5,2.5,3,4,2,0,0,5.5,4,13,13
1ef,4,5,4.5,4,3,2,0,0,3,2,0,0,2,3,5,5,1.5,1.5,2.5,3,3,4,0,0,2,1.5,2.5,1.5,4,3,0,0,0,0,11,11
1ef,4,3.5,4.5,3,2.5,2,0,0,4,3.5,2,1.5,0,0,4,4,0,0.5,2.5,2.5,3,2,1,0.5,2,2,2.5,2,2.5,2.5,0,0,5,5.5,14,14
1ef,5,5,5,5,3,2,4,3.5,4,3.5,1.5,1,5.5,5,5.5,5.5,4,4,4,3.5,4.5,4.5,2,1.5,2,1.5,2,1.5,3,3,0,0,4,3,20,20
1ef,5,5,5,4.5,2.5,3,7,7,4,3.5,1,1,2,1.5,8,6,4,4,5,5,6,4,5,5,2,2,3,3,3,2.5,2,2,6,6,19,19
1ef,4,4,4,2.5,2,2,4,2.5,2.5,2,0,1,3.5,2,0,1.5,2.5,2.5,4,4.5,1,1.5,1.5,0,2,2,0,1.5,2,2,0.5,0,6,6,17,17
1ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ef,5,5,5,5,3,3,2,2,4,2.5,1.5,1,3,3.5,3,5,4,4,3,3.5,3,2,2,0.5,2,2,3,3,3,1.5,2,2,5.5,5,15,15
1ef,5,5,5,5,3,3,5,4,4,2.5,1,1,3,1.5,5.5,4,4,3.5,1,2,3.5,3.5,0,0,2,2,2.5,3,0,0,0,0,5,5,18,18
1ef,3.5,3.25,0,0.5,0,0,0,0,3,2,0.5,1,0,0,0,0,1.5,1,2,2,1,1,0,0,1,1,1,1.5,2,0,0,0,2,1,11,11
1ef,0,0.25,0,0,0.5,1,1,1,3,2,1.5,2,4,1,0,1,2,2.5,0.5,1.5,1,0,0,0,2,2,2,1.5,3,2.5,0,0,0,0,10,10
1ef,2.5,2,5,3,0,0,1,1,2,1.5,0.5,1,0,0,1,2.5,1.5,1.5,2,3,1,1.5,2,2,1.5,1.5,3,3,1,1.5,0,0,4,4,12,12
1ef,4.5,4.5,5,5,1.5,2,3,3,4,3.5,1,0.5,4.5,4.5,6,6,4,4,3,3.5,4.5,4.5,4,4,2,2,2.5,2,2.5,2.5,1,0,4.5,5.5,18,18
1ef,5,5,4,4,1.5,2,0,0.5,3,2,0.5,0.5,1.5,1,1,1,3.5,3.5,0,0,0,0,0,0,1,1,2.5,0.5,0,0,0,0,0,0,13,13
1eg,1.5,1.25,0,0,3,3,3,2.5,3.5,2,1,1,4.5,2,2.5,3,1,0.75,3,2.5,4,2,2,1.5,1.5,1.25,2,2,0.5,0,0,0,4.5,4,12,12
1eg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1eg,5,5,4,5,2.5,2.5,0,1.5,4,3,0.5,1,4,4,6,5,4,3.5,4,3.5,5,4.5,2.5,1,2,2,3,2,2,3,0,0,5.5,4.5,18,18
1eg,4.5,4.25,2.5,3.5,2.5,1.5,1,1.5,4,3,0.5,1,4,1.5,5,3,4,3,3,3.5,5.5,3,2.5,0,2,1.5,3,1.5,2,2,0,0,5.5,4,18,15
1eg,5,5,4,4,3,1,1,1,3.5,3,1.5,2,4,3,6,4,4,3.25,3,2.5,4,1.5,3.5,1,2,2,3,2,2,2.5,0,0,6,4.5,14,14
1eg,5,5,5,5,3,3,3,2,3.5,3.5,0,0,3,2,3,3.5,2.5,2.25,5,2.5,2,2.5,0,0,2,2,3,1.5,4,2,0,0,1.5,1.5,17,17
1eg,2,1,0,0,0,0,0,0,2,0.5,0,0,0,0,4,4,0,0,3,2.5,0,0.5,1.5,0,0,0.5,0,0,0,0,0,0,0,0,10,10
1eg,4,5,5,5,2,1,3,2.5,3.5,3,0.5,1,3,2,6,3,3.5,3,4,5,4.5,4.5,3,1.5,1.5,2,3,3,2,1,2,2,0,5,18,18
1eg,5,5,5,5,2.5,2,4.5,2.5,4,4,1.5,1.5,2,0,7,5,4,4,5,4,5,4,4.5,4,2,2,3,2,3,2.5,2,2,4,5,19,19
1eg,5,5,5,5,3,3,5,2,4,4,1,1.5,2,1,5,6.5,4,4,5,3.5,3.5,4,3.5,3,2,2,3,3,7,5.5,2,2,4.5,4,19,19
1eg,5,5,5,4.5,2.5,2,2,2,2.5,3,0,0,0,0,8,4,4,3.5,4,4.5,5,5,0,0,1.5,1.5,3,1.5,1.5,2,2,2,3,3.5,15,15
